TransactionDate,SettlementDate,TransactionAccount,CurrencyPair,PrimaryCurrencyQuantity,SecondaryCurrencyQuantity
2/3/2021,2/5/2021,Client B,AUD/JPY,479000,-40162234
2/3/2021,2/5/2021,Client B,AUD/JPY,400000,-33701600
2/3/2021,2/5/2021,Client B,AUD/JPY,400000,-33646400
2/3/2021,2/5/2021,Client C,AUD/JPY,400000,-33596800
2/3/2021,2/5/2021,Client B,AUD/JPY,300000,-25145700
2/3/2021,2/5/2021,Client C,AUD/JPY,271000,-22752618
2/3/2021,2/5/2021,Client B,AUD/JPY,235600,-19799824
2/3/2021,2/5/2021,Client B,AUD/JPY,200000,-16863800
2/3/2021,2/5/2021,Client C,AUD/JPY,200000,-16797800
2/3/2021,2/5/2021,Client C,AUD/JPY,200000,-16786200
2/3/2021,2/5/2021,Client C,AUD/JPY,200000,-16777600
2/3/2021,2/5/2021,Client C,AUD/JPY,200000,-16752200
2/3/2021,2/5/2021,Client B,AUD/JPY,142000,-11952850
2/3/2021,2/5/2021,Client C,AUD/JPY,136000,-11406048
2/3/2021,2/5/2021,Client B,AUD/JPY,129000,-10831098
2/3/2021,2/5/2021,Client A,AUD/JPY,120000,-10105320
2/3/2021,2/5/2021,Client C,AUD/JPY,119000,-10010399
2/3/2021,2/5/2021,Client C,AUD/JPY,65000,-5457010
2/3/2021,2/5/2021,Client C,AUD/JPY,50000,-4213200
2/3/2021,2/5/2021,Client B,AUD/JPY,21000,-1768452
2/3/2021,2/5/2021,Client B,AUD/JPY,13000,-1091025
2/3/2021,2/5/2021,Client C,AUD/JPY,10000,-839850
2/3/2021,2/5/2021,Client B,AUD/JPY,10000,-839550
2/3/2021,2/5/2021,Client C,AUD/JPY,10000,-839450
2/3/2021,2/5/2021,Client C,AUD/JPY,5000,-419710
2/3/2021,2/5/2021,Client C,AUD/JPY,5000,-419620
2/3/2021,2/5/2021,Client B,AUD/JPY,3000,-253356
2/3/2021,2/5/2021,Client B,AUD/JPY,3000,-251832
2/3/2021,2/5/2021,Client C,AUD/JPY,2000,-168202
2/3/2021,2/5/2021,Client C,AUD/JPY,2000,-168020
2/3/2021,2/5/2021,Client C,AUD/JPY,2000,-168020
2/3/2021,2/5/2021,Client B,AUD/JPY,1280,-107443
2/3/2021,2/5/2021,Client C,AUD/JPY,1000,-84421
2/3/2021,2/5/2021,Client C,AUD/JPY,1000,-84421
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84351
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84340
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84339
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84338
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84338
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84317
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84227
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84209
2/3/2021,2/5/2021,Client C,AUD/JPY,1000,-84129
2/3/2021,2/5/2021,Client C,AUD/JPY,1000,-84129
2/3/2021,2/5/2021,Client C,AUD/JPY,1000,-84129
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84117
2/3/2021,2/5/2021,Client C,AUD/JPY,1000,-84103
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84079
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84057
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84011
2/3/2021,2/5/2021,Client C,AUD/JPY,1000,-84010
2/3/2021,2/5/2021,Client C,AUD/JPY,1000,-84010
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-84004
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83976
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83976
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83976
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83965
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83959
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83957
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83940
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83940
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83940
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83931
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83929
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83916
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83905
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83903
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83869
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83848
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83799
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83746
2/3/2021,2/5/2021,Client B,AUD/JPY,1000,-83746
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000,83795
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000,83818
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000,84001
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84006
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84156
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84192
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84220
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000,84253
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84262
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84350
2/3/2021,2/5/2021,Client A,AUD/JPY,-1000,84384
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84413
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84459
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000,84489
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000,84492
2/3/2021,2/5/2021,Client B,AUD/JPY,-2000,168286
2/3/2021,2/5/2021,Client B,AUD/JPY,-2000,168294
2/3/2021,2/5/2021,Client C,AUD/JPY,-2000,168346
2/3/2021,2/5/2021,Client B,AUD/JPY,-2000,168360
2/3/2021,2/5/2021,Client C,AUD/JPY,-3000,252522
2/3/2021,2/5/2021,Client C,AUD/JPY,-5000,419960
2/3/2021,2/5/2021,Client B,AUD/JPY,-5000,420850
2/3/2021,2/5/2021,Client B,AUD/JPY,-5000,421070
2/3/2021,2/5/2021,Client C,AUD/JPY,-8000,671888
2/3/2021,2/5/2021,Client C,AUD/JPY,-8000,672520
2/3/2021,2/5/2021,Client B,AUD/JPY,-10000,839660
2/3/2021,2/5/2021,Client B,AUD/JPY,-10000,841610
2/3/2021,2/5/2021,Client B,AUD/JPY,-15000,1262670
2/3/2021,2/5/2021,Client B,AUD/JPY,-20000,1675000
2/3/2021,2/5/2021,Client B,AUD/JPY,-20000,1679440
2/3/2021,2/5/2021,Client C,AUD/JPY,-20000,1680360
2/3/2021,2/5/2021,Client B,AUD/JPY,-20000,1682580
2/3/2021,2/5/2021,Client C,AUD/JPY,-30000,2523510
2/3/2021,2/5/2021,Client C,AUD/JPY,-30000,2533590
2/3/2021,2/5/2021,Client B,AUD/JPY,-100000,8423400
2/3/2021,2/5/2021,Client B,AUD/JPY,-103000,8632121
2/3/2021,2/5/2021,Client B,AUD/JPY,-126000,10563462
2/3/2021,2/5/2021,Client C,AUD/JPY,-200000,16794800
2/3/2021,2/5/2021,Client C,AUD/JPY,-200000,16797600
2/3/2021,2/5/2021,Client B,AUD/JPY,-227000,19092289
2/3/2021,2/5/2021,Client C,AUD/JPY,-270000,22712670
2/3/2021,2/5/2021,Client B,AUD/JPY,-303000,25391400
2/3/2021,2/5/2021,Client B,AUD/JPY,-308000,25818408
2/3/2021,2/5/2021,Client B,AUD/JPY,-325000,27386775
2/3/2021,2/5/2021,Client B,AUD/JPY,-359000,30081328
2/3/2021,2/5/2021,Client A,AUD/JPY,-400000,33585600
2/3/2021,2/5/2021,Client C,AUD/JPY,-400000,33602800
2/3/2021,2/5/2021,Client B,AUD/JPY,-469000,39282971
2/3/2021,2/5/2021,Client B,AUD/JPY,-500000,41899000
2/3/2021,2/5/2021,Client B,AUD/JPY,-500000,41934000
2/3/2021,2/5/2021,Client C,AUD/JPY,-500000,41972000
2/3/2021,2/5/2021,Client C,AUD/JPY,-500000,41976500
2/3/2021,2/5/2021,Client B,AUD/JPY,-500000,41978500
2/3/2021,2/5/2021,Client B,AUD/JPY,-500000,41996500
2/3/2021,2/5/2021,Client C,AUD/JPY,-500000,42060000
2/3/2021,2/5/2021,Client B,AUD/JPY,-500000,42067000
2/3/2021,2/5/2021,Client B,AUD/JPY,-500000,42144000
2/3/2021,2/5/2021,Client B,AUD/JPY,-578000,48724244
2/3/2021,2/5/2021,Client B,AUD/JPY,-592000,49791344
2/3/2021,2/5/2021,Client C,AUD/JPY,-600000,50295000
2/3/2021,2/5/2021,Client C,AUD/JPY,-753000,63130767
2/3/2021,2/5/2021,Client C,AUD/JPY,-770000,64485190
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83754000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83776000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83803000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83807000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83811000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83834000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83843000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83855000
2/3/2021,2/5/2021,Client A,AUD/JPY,-1000000,83862000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83868000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83868000
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000000,83883000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83906000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83912000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83915000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83920000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83926000
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000000,83930000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83946000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83955000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83958000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83963000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83969000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83977000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83977000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83978000
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000000,83984000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,83991000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,84003000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,84019000
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000000,84117000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,84133000
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000000,84137000
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000000,84267000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,84308000
2/3/2021,2/5/2021,Client C,AUD/JPY,-1000000,84325000
2/3/2021,2/5/2021,Client B,AUD/JPY,-1000000,84337000
2/3/2021,2/5/2021,Client A,AUD/JPY,-1000000,84338000
2/3/2021,2/5/2021,Client A,AUD/JPY,-1000000,84464000
2/3/2021,2/5/2021,Client C,AUD/NZD,2000000,-2151000
2/3/2021,2/5/2021,Client C,AUD/NZD,2000000,-2139400
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1080100
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1079900
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1079210
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1078700
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1078630
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1078630
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1078600
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1078300
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1078300
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1078040
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1078040
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077950
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077950
2/3/2021,2/5/2021,Client B,AUD/NZD,1000000,-1077890
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077870
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077860
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1077800
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1077700
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1077400
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077260
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077250
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077250
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077230
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077200
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1077200
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1076360
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1076360
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1075990
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1075900
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1075480
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1075300
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1075280
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1075260
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1075070
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1074060
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1073800
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1073800
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1073700
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1073680
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1073680
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1073620
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1073580
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1073510
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1073400
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1073400
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1073200
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1073150
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1073030
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1073000
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1073000
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1072870
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1072870
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1072760
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1072750
2/3/2021,2/5/2021,Client B,AUD/NZD,1000000,-1072710
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1072700
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1072700
2/3/2021,2/5/2021,Client C,AUD/NZD,1000000,-1072700
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1072490
2/3/2021,2/5/2021,Client A,AUD/NZD,1000000,-1072240
2/3/2021,2/5/2021,Client A,AUD/NZD,935000,-1002975
2/3/2021,2/5/2021,Client A,AUD/NZD,930000,-1002335
2/3/2021,2/5/2021,Client A,AUD/NZD,930000,-1000122
2/3/2021,2/5/2021,Client A,AUD/NZD,930000,-997899
2/3/2021,2/5/2021,Client A,AUD/NZD,925000,-997095
2/3/2021,2/5/2021,Client A,AUD/NZD,925000,-996771
2/3/2021,2/5/2021,Client A,AUD/NZD,925000,-992275
2/3/2021,2/5/2021,Client A,AUD/NZD,925000,-992211
2/3/2021,2/5/2021,Client A,AUD/NZD,600000,-645186
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-539045
2/3/2021,2/5/2021,Client B,AUD/NZD,500000,-539035
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-539020
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-539020
2/3/2021,2/5/2021,Client B,AUD/NZD,500000,-538605
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-538255
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-538175
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-538130
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-538130
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-538130
2/3/2021,2/5/2021,Client B,AUD/NZD,500000,-537635
2/3/2021,2/5/2021,Client B,AUD/NZD,500000,-537530
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-537320
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-537090
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-536770
2/3/2021,2/5/2021,Client A,AUD/NZD,500000,-536745
2/3/2021,2/5/2021,Client A,AUD/NZD,425000,-456952
2/3/2021,2/5/2021,Client B,AUD/NZD,400000,-430876
2/3/2021,2/5/2021,Client A,AUD/NZD,400000,-430520
2/3/2021,2/5/2021,Client C,AUD/NZD,400000,-429160
2/3/2021,2/5/2021,Client B,AUD/NZD,300000,-322932
2/3/2021,2/5/2021,Client A,AUD/NZD,300000,-322638
2/3/2021,2/5/2021,Client A,AUD/NZD,275000,-296486
2/3/2021,2/5/2021,Client A,AUD/NZD,200000,-215440
2/3/2021,2/5/2021,Client A,AUD/NZD,200000,-215400
2/3/2021,2/5/2021,Client A,AUD/NZD,200000,-215400
2/3/2021,2/5/2021,Client B,AUD/NZD,190000,-204811
2/3/2021,2/5/2021,Client A,AUD/NZD,185000,-199469
2/3/2021,2/5/2021,Client A,AUD/NZD,120276,-129642
2/3/2021,2/5/2021,Client C,AUD/NZD,110000,-118630
2/3/2021,2/5/2021,Client C,AUD/NZD,110000,-118626
2/3/2021,2/5/2021,Client C,AUD/NZD,110000,-118624
2/3/2021,2/5/2021,Client C,AUD/NZD,110000,-118049
2/3/2021,2/5/2021,Client C,AUD/NZD,110000,-118047
2/3/2021,2/5/2021,Client C,AUD/NZD,110000,-118047
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107826
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107795
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107783
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107766
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107713
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107596
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107580
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107543
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107341
2/3/2021,2/5/2021,Client A,AUD/NZD,100000,-107249
2/3/2021,2/5/2021,Client C,AUD/NZD,50000,-53931
2/3/2021,2/5/2021,Client B,AUD/NZD,50000,-53762
2/3/2021,2/5/2021,Client C,AUD/NZD,43000,-46207
2/3/2021,2/5/2021,Client C,AUD/NZD,43000,-46127
2/3/2021,2/5/2021,Client C,AUD/NZD,30000,-32221
2/3/2021,2/5/2021,Client C,AUD/NZD,20000,-21573
2/3/2021,2/5/2021,Client C,AUD/NZD,20000,-21572
2/3/2021,2/5/2021,Client C,AUD/NZD,10000,-10787
2/3/2021,2/5/2021,Client C,AUD/NZD,10000,-10785
2/3/2021,2/5/2021,Client C,AUD/NZD,10000,-10785
2/3/2021,2/5/2021,Client C,AUD/NZD,10000,-10783
2/3/2021,2/5/2021,Client C,AUD/NZD,7000,-7550
2/3/2021,2/5/2021,Client B,AUD/NZD,7000,-7527
2/3/2021,2/5/2021,Client B,AUD/NZD,6000,-6438
2/3/2021,2/5/2021,Client B,AUD/NZD,5000,-5392
2/3/2021,2/5/2021,Client B,AUD/NZD,5000,-5366
2/3/2021,2/5/2021,Client B,AUD/NZD,3000,-3220
2/3/2021,2/5/2021,Client B,AUD/NZD,3000,-3220
2/3/2021,2/5/2021,Client C,AUD/NZD,3000,-3218
2/3/2021,2/5/2021,Client C,AUD/NZD,2000,-2155
2/3/2021,2/5/2021,Client B,AUD/NZD,2000,-2152
2/3/2021,2/5/2021,Client C,AUD/NZD,2000,-2151
2/3/2021,2/5/2021,Client B,AUD/NZD,2000,-2150
2/3/2021,2/5/2021,Client C,AUD/NZD,2000,-2149
2/3/2021,2/5/2021,Client C,AUD/NZD,2000,-2149
2/3/2021,2/5/2021,Client B,AUD/NZD,2000,-2148
2/3/2021,2/5/2021,Client B,AUD/NZD,2000,-2147
2/3/2021,2/5/2021,Client B,AUD/NZD,2000,-2147
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1079
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1079
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1079
2/3/2021,2/5/2021,Client C,AUD/NZD,1000,-1079
2/3/2021,2/5/2021,Client C,AUD/NZD,1000,-1079
2/3/2021,2/5/2021,Client C,AUD/NZD,1000,-1079
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1079
2/3/2021,2/5/2021,Client C,AUD/NZD,1000,-1079
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client C,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1078
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1077
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1077
2/3/2021,2/5/2021,Client B,AUD/NZD,1000,-1077
